Month,TotalAmount
Январь,18550434295.0
Февраль,18721667558.0
Март,18771103203.0
Апрель,18734119287.0
Май,18845398728.0
Июнь,18740918250.0
Июль,18468497701.0
Август,18200346858.0
Сентябрь,18245893220.0
Октябрь,18682217303.0
Ноябрь,19094260026.0
Декабрь,19332093830.0
